nome;link
1º Bimestre
LA01 - Lista de exercícios 01;https://github.com/rjhalmeman/algoritmos/blob/main/1bimestre/01_listaDeExercicios.md
LA02 - Lista de exercícios 02;https://github.com/rjhalmeman/algoritmos/blob/main/1bimestre/02_listaDeExercicios.md
LA03 - Lista de exercícios 03;https://github.com/rjhalmeman/algoritmos/blob/main/1bimestre/03_listaDeExercicios.md
LA04 - Lista de exercícios 04;https://github.com/rjhalmeman/algoritmos/blob/main/1bimestre/04_listaDeExercicios.md
LA05 - Lista de exercícios 05;https://github.com/rjhalmeman/algoritmos/blob/main/1bimestre/05_listaDeExercicios.md
LA06 - Lista de exercícios 06;https://github.com/rjhalmeman/algoritmos/blob/main/1bimestre/06_listaDeExercicios.md

2º Bimestre
Aguarde;vira
3º Bimestre
Aguarde;vira

----------------
Playlist no youtube com algumas explicações em vídeo;https://www.youtube.com/playlist?list=PLILSbPGh0MjajG0UyMLbUHQr9L5fo335A
Detalhes, vídeos, conceitos... estão no site;https://sites.google.com/professores.utfpr.edu.br/algoritmostiii/inicio
GitHub - Códigos prontos em JavaScript;https://github.com/rjhalmeman/algoritmos
